orderid,orderdate,region,salesperson,category,product,units,unitprice,revenue,customertype,month,revenue_category
ORD01504,2025-06-14,West,Karthik,Clothing,Shirt,25,969.88,24247.0,Retail,6,Low Revenue
ORD01505,2024-03-17,West,Karthik,Grocery,Milk,48,1477.52,70920.96,Wholesale,3,High Revenue
ORD01506,2024-06-06,West,Priya,Clothing,Jacket,48,1869.97,89758.56,Retail,6,High Revenue
ORD01507,2024-01-27,North,Rahul,Grocery,Sugar,32,1472.91,47133.12,Wholesale,1,Medium Revenue
ORD01508,2025-02-03,East,Karthik,Clothing,Jacket,21,1524.04,32004.84,Wholesale,2,Medium Revenue
ORD01509,2025-12-06,West,Sneha,Furniture,Cabinet,50,1536.62,76831.0,Wholesale,12,High Revenue
ORD01510,2025-10-27,North,Rahul,Electronics,Phone,41,1979.2,81147.2,Retail,10,High Revenue
ORD01511,2024-07-20,North,Amit,Electronics,Laptop,34,870.82,29607.88,Retail,7,Low Revenue
ORD01512,2024-11-02,West,Karthik,Electronics,Tablet,43,1998.5,85935.5,Wholesale,11,High Revenue
ORD01513,2024-01-08,East,Divya,Grocery,Sugar,4,584.97,2339.88,Wholesale,1,Low Revenue
ORD01514,2024-07-02,East,Amit,Furniture,Cabinet,11,1969.39,21663.29,Retail,7,Low Revenue
ORD01515,2025-09-03,South,Karthik,Grocery,Rice,4,210.07,840.28,Retail,9,Low Revenue
ORD01516,2024-06-03,West,Meena,Electronics,Monitor,29,159.34,4620.86,Wholesale,6,Low Revenue
ORD01517,2025-02-02,West,Arjun,Clothing,Shirt,3,1647.97,4943.91,Retail,2,Low Revenue
ORD01518,2025-07-15,West,Priya,Grocery,Oil,8,1264.58,10116.64,Wholesale,7,Low Revenue
ORD01519,2025-04-24,South,Priya,Grocery,Milk,45,1555.34,69990.3,Wholesale,4,High Revenue
ORD01520,2024-01-09,West,Karthik,Furniture,Table,2,782.6,1565.2,Wholesale,1,Low Revenue
ORD01521,2024-11-22,North,Arjun,Electronics,Phone,40,1644.5,65780.0,Retail,11,High Revenue
ORD01522,2025-05-28,West,Divya,Grocery,Rice,23,185.93,4276.39,Wholesale,5,Low Revenue
ORD01523,2024-11-25,East,Meena,Electronics,Phone,32,1542.6,49363.2,Retail,11,Medium Revenue
ORD01524,2025-10-14,West,Karthik,Clothing,Jeans,25,706.12,17653.0,Retail,10,Low Revenue
ORD01525,2025-11-30,South,Rahul,Electronics,Monitor,18,1942.17,34959.06,Wholesale,11,Medium Revenue
ORD01526,2025-09-11,East,Arjun,Grocery,Oil,6,1922.14,11532.84,Retail,9,Low Revenue
ORD01527,2025-05-29,East,Rahul,Grocery,Milk,12,406.77,4881.24,Wholesale,5,Low Revenue
ORD01528,2024-05-17,East,Amit,Electronics,Phone,30,1762.08,52862.4,Wholesale,5,High Revenue
ORD01529,2025-11-27,West,Amit,Grocery,Sugar,22,1255.74,27626.28,Retail,11,Low Revenue
ORD01530,2025-08-16,West,Karthik,Electronics,Phone,20,635.21,12704.2,Retail,8,Low Revenue
ORD01531,2024-11-04,West,Karthik,Electronics,Phone,7,1015.28,7106.96,Wholesale,11,Low Revenue
ORD01532,2024-07-11,South,Priya,Clothing,Shirt,15,1108.64,16629.6,Wholesale,7,Low Revenue
ORD01533,2024-08-15,North,Arjun,Furniture,Table,11,1675.84,18434.24,Wholesale,8,Low Revenue
ORD01534,2025-02-07,West,Karthik,Furniture,Cabinet,33,1028.35,33935.55,Wholesale,2,Medium Revenue
ORD01535,2025-08-26,West,Priya,Grocery,Oil,8,69.61,556.88,Retail,8,Low Revenue
ORD01536,2024-04-03,West,Sneha,Clothing,Jeans,13,848.93,11036.09,Retail,4,Low Revenue
ORD01537,2024-06-13,North,Amit,Grocery,Sugar,8,1237.05,9896.4,Wholesale,6,Low Revenue
ORD01538,2024-11-25,East,Rahul,Furniture,Desk,49,286.26,14026.74,Retail,11,Low Revenue
ORD01539,2024-07-29,East,Rahul,Grocery,Sugar,19,1159.73,22034.87,Retail,7,Low Revenue
ORD01540,2025-11-20,West,Karthik,Clothing,Jacket,18,81.5,1467.0,Retail,11,Low Revenue
ORD01541,2024-03-09,West,Arjun,Furniture,Desk,41,587.06,24069.46,Retail,3,Low Revenue
ORD01542,2024-02-15,East,Meena,Furniture,Table,38,550.54,20920.52,Wholesale,2,Low Revenue
ORD01543,2024-07-12,South,Rahul,Grocery,Milk,16,1619.25,25908.0,Wholesale,7,Low Revenue
ORD01544,2025-04-12,West,Rahul,Clothing,Jacket,46,1280.69,58911.74,Retail,4,High Revenue
ORD01545,2025-10-25,South,Meena,Clothing,Shirt,47,294.33,13833.51,Wholesale,10,Low Revenue
ORD01546,2025-06-01,West,Rahul,Electronics,Monitor,50,1456.19,72809.5,Wholesale,6,High Revenue
ORD01547,2025-11-13,West,Sneha,Electronics,Laptop,7,1839.89,12879.23,Wholesale,11,Low Revenue
ORD01548,2024-01-30,South,Meena,Electronics,Laptop,18,871.82,15692.76,Retail,1,Low Revenue
ORD01549,2025-01-08,West,Divya,Clothing,Jeans,13,1318.09,17135.17,Wholesale,1,Low Revenue
ORD01550,2025-04-15,West,Divya,Clothing,Jacket,8,981.27,7850.16,Wholesale,4,Low Revenue
ORD01551,2024-09-03,South,Divya,Grocery,Rice,13,471.83,6133.79,Wholesale,9,Low Revenue
ORD01552,2024-12-16,West,Priya,Clothing,Jacket,4,128.37,513.48,Retail,12,Low Revenue
ORD01553,2025-12-04,East,Amit,Clothing,Jeans,16,1022.03,16352.48,Retail,12,Low Revenue
ORD01554,2025-01-29,East,Meena,Electronics,Monitor,20,891.6,17832.0,Retail,1,Low Revenue
ORD01555,2024-04-21,West,Divya,Electronics,Monitor,21,549.26,11534.46,Wholesale,4,Low Revenue
ORD01556,2024-05-13,West,Rahul,Clothing,Jeans,33,1291.8,42629.4,Retail,5,Medium Revenue
ORD01557,2024-05-25,East,Meena,Furniture,Desk,27,1481.03,39987.81,Wholesale,5,Medium Revenue
ORD01558,2024-05-28,West,Sneha,Grocery,Oil,30,1416.63,42498.9,Retail,5,Medium Revenue
ORD01559,2024-02-14,East,Karthik,Grocery,Sugar,47,62.46,2935.62,Wholesale,2,Low Revenue
ORD01560,2024-11-12,East,Priya,Electronics,Laptop,34,447.12,15202.08,Retail,11,Low Revenue
ORD01561,2024-08-26,East,Rahul,Electronics,Monitor,31,154.39,4786.09,Retail,8,Low Revenue
ORD01562,2024-08-09,South,Rahul,Furniture,Cabinet,40,1046.12,41844.8,Wholesale,8,Medium Revenue
ORD01563,2024-01-08,West,Divya,Electronics,Phone,21,1795.24,37700.04,Retail,1,Medium Revenue
ORD01564,2025-12-18,West,Priya,Electronics,Tablet,33,1589.28,52446.24,Wholesale,12,High Revenue
ORD01565,2024-09-03,North,Priya,Electronics,Phone,1,1926.99,1926.99,Wholesale,9,Low Revenue
ORD01566,2024-08-04,North,Karthik,Grocery,Milk,36,1237.86,44562.96,Retail,8,Medium Revenue
ORD01567,2024-09-25,South,Sneha,Electronics,Monitor,16,721.02,11536.32,Wholesale,9,Low Revenue
ORD01568,2025-08-27,West,Sneha,Electronics,Monitor,44,14.59,641.96,Wholesale,8,Low Revenue
ORD01569,2025-12-29,West,Amit,Furniture,Cabinet,36,44.47,1600.92,Wholesale,12,Low Revenue
ORD01570,2025-02-16,West,Sneha,Clothing,Jacket,41,1627.79,66739.39,Retail,2,High Revenue
ORD01571,2025-10-15,South,Karthik,Grocery,Oil,5,952.9,4764.5,Wholesale,10,Low Revenue
ORD01572,2024-08-26,East,Arjun,Furniture,Chair,6,681.41,4088.46,Retail,8,Low Revenue
ORD01573,2025-03-15,North,Amit,Furniture,Table,43,1843.19,79257.17,Retail,3,High Revenue
ORD01574,2025-05-15,East,Sneha,Clothing,Shirt,30,809.32,24279.6,Wholesale,5,Low Revenue
ORD01575,2025-12-14,South,Divya,Electronics,Phone,48,1961.99,94175.52,Wholesale,12,High Revenue
ORD01576,2024-10-24,East,Meena,Clothing,Shirt,39,169.22,6599.58,Retail,10,Low Revenue
ORD01577,2024-03-23,East,Priya,Electronics,Laptop,14,514.47,7202.58,Wholesale,3,Low Revenue
ORD01578,2024-12-01,North,Divya,Clothing,Shirt,33,963.5,31795.5,Wholesale,12,Medium Revenue
ORD01579,2025-05-07,South,Divya,Grocery,Sugar,3,1746.18,5238.54,Wholesale,5,Low Revenue
ORD01580,2025-11-24,North,Divya,Electronics,Laptop,27,373.45,10083.15,Retail,11,Low Revenue
ORD01581,2024-12-03,South,Amit,Grocery,Sugar,4,1529.16,6116.64,Wholesale,12,Low Revenue
ORD01582,2024-03-25,East,Karthik,Electronics,Phone,33,494.37,16314.21,Retail,3,Low Revenue
ORD01583,2024-12-28,West,Karthik,Electronics,Monitor,7,155.73,1090.11,Retail,12,Low Revenue
ORD01584,2024-05-19,North,Rahul,Grocery,Rice,13,467.09,6072.17,Wholesale,5,Low Revenue
ORD01585,2024-06-14,South,Amit,Clothing,Shirt,20,1099.49,21989.8,Retail,6,Low Revenue
ORD01586,2025-01-23,South,Karthik,Furniture,Cabinet,27,16.34,441.18,Retail,1,Low Revenue
ORD01587,2024-02-14,South,Arjun,Electronics,Monitor,28,1495.27,41867.56,Retail,2,Medium Revenue
ORD01588,2025-02-06,North,Amit,Clothing,Shoes,50,697.41,34870.5,Retail,2,Medium Revenue
ORD01589,2024-07-11,South,Amit,Grocery,Sugar,44,760.67,33469.48,Retail,7,Medium Revenue
ORD01590,2025-06-19,North,Sneha,Grocery,Oil,38,502.91,19110.58,Wholesale,6,Low Revenue
ORD01591,2025-06-05,East,Priya,Clothing,Jeans,47,1105.63,51964.61,Retail,6,High Revenue
ORD01592,2025-09-13,South,Priya,Grocery,Milk,31,890.09,27592.79,Wholesale,9,Low Revenue
ORD01593,2025-05-14,East,Rahul,Furniture,Chair,4,30.14,120.56,Wholesale,5,Low Revenue
ORD01594,2025-07-23,South,Priya,Electronics,Tablet,2,693.56,1387.12,Wholesale,7,Low Revenue
ORD01595,2025-11-16,South,Amit,Furniture,Chair,25,243.36,6084.0,Retail,11,Low Revenue
ORD01596,2025-05-17,West,Sneha,Clothing,Jacket,48,22.2,1065.6,Wholesale,5,Low Revenue
ORD01597,2025-03-10,South,Karthik,Grocery,Sugar,48,1330.95,63885.6,Wholesale,3,High Revenue
ORD01598,2024-04-30,South,Sneha,Grocery,Oil,3,479.99,1439.97,Retail,4,Low Revenue
ORD01599,2025-10-27,South,Divya,Grocery,Oil,25,1146.96,28674.0,Wholesale,10,Low Revenue
ORD01600,2025-03-10,North,Arjun,Electronics,Laptop,46,945.74,43504.04,Wholesale,3,Medium Revenue
ORD01601,2025-10-29,West,Priya,Electronics,Laptop,17,507.48,8627.16,Retail,10,Low Revenue
ORD01602,2025-10-22,East,Amit,Grocery,Rice,30,1840.92,55227.6,Retail,10,High Revenue
ORD01603,2025-12-09,East,Amit,Grocery,Sugar,22,1997.31,43940.82,Retail,12,Medium Revenue
ORD01604,2025-03-21,North,Divya,Clothing,Shoes,34,1796.75,61089.5,Retail,3,High Revenue
ORD01605,2025-05-16,North,Sneha,Grocery,Sugar,15,526.69,7900.35,Wholesale,5,Low Revenue
ORD01606,2024-08-22,North,Sneha,Electronics,Phone,26,111.44,2897.44,Retail,8,Low Revenue
ORD01607,2025-05-13,West,Meena,Grocery,Rice,6,28.04,168.24,Retail,5,Low Revenue
ORD01608,2024-04-14,West,Amit,Furniture,Table,46,385.0,17710.0,Wholesale,4,Low Revenue
ORD01609,2024-10-09,South,Amit,Electronics,Laptop,24,701.36,16832.64,Wholesale,10,Low Revenue
ORD01610,2024-05-11,West,Arjun,Electronics,Monitor,17,684.26,11632.42,Retail,5,Low Revenue
ORD01611,2024-11-29,West,Karthik,Clothing,Jacket,45,434.79,19565.55,Retail,11,Low Revenue
ORD01612,2024-11-13,South,Rahul,Grocery,Sugar,43,656.94,28248.42,Wholesale,11,Low Revenue
ORD01613,2025-11-01,South,Sneha,Electronics,Tablet,42,330.08,13863.36,Retail,11,Low Revenue
ORD01614,2024-09-23,West,Arjun,Electronics,Monitor,47,537.51,25262.97,Retail,9,Low Revenue
ORD01615,2025-02-15,North,Arjun,Grocery,Sugar,6,1197.87,7187.22,Wholesale,2,Low Revenue
ORD01616,2025-08-13,South,Rahul,Grocery,Rice,3,415.66,1246.98,Wholesale,8,Low Revenue
ORD01617,2025-10-10,North,Divya,Electronics,Monitor,30,72.46,2173.8,Wholesale,10,Low Revenue
ORD01618,2024-12-20,West,Sneha,Furniture,Desk,37,1947.31,72050.47,Wholesale,12,High Revenue
ORD01619,2024-11-25,East,Rahul,Clothing,Jeans,26,858.63,22324.38,Wholesale,11,Low Revenue
ORD01620,2024-01-19,South,Arjun,Electronics,Monitor,24,1395.5,33492.0,Retail,1,Medium Revenue
ORD01621,2025-06-06,West,Karthik,Grocery,Oil,27,810.63,21887.01,Retail,6,Low Revenue
ORD01622,2025-05-03,West,Karthik,Electronics,Monitor,19,1031.99,19607.81,Retail,5,Low Revenue
ORD01623,2024-01-21,East,Karthik,Clothing,Jeans,12,776.84,9322.08,Retail,1,Low Revenue
ORD01624,2024-04-14,North,Rahul,Furniture,Desk,3,1366.01,4098.03,Wholesale,4,Low Revenue
ORD01625,2024-03-07,South,Divya,Electronics,Monitor,22,1501.08,33023.76,Wholesale,3,Medium Revenue
ORD01626,2025-09-25,North,Meena,Furniture,Chair,47,521.12,24492.64,Retail,9,Low Revenue
ORD01627,2024-07-22,West,Priya,Grocery,Sugar,20,1910.07,38201.4,Wholesale,7,Medium Revenue
ORD01628,2025-08-01,West,Divya,Furniture,Desk,45,1651.7,74326.5,Wholesale,8,High Revenue
ORD01629,2025-06-20,East,Meena,Clothing,Shirt,40,1571.41,62856.4,Wholesale,6,High Revenue
ORD01630,2025-12-16,East,Arjun,Electronics,Laptop,32,713.64,22836.48,Wholesale,12,Low Revenue
ORD01631,2024-07-02,West,Rahul,Furniture,Cabinet,9,602.32,5420.88,Retail,7,Low Revenue
ORD01632,2024-04-20,East,Amit,Furniture,Table,2,609.9,1219.8,Wholesale,4,Low Revenue
ORD01633,2025-03-02,East,Priya,Grocery,Rice,6,1669.42,10016.52,Wholesale,3,Low Revenue
ORD01634,2024-09-30,West,Divya,Clothing,Jeans,7,1664.3,11650.1,Retail,9,Low Revenue
ORD01635,2025-11-06,South,Sneha,Clothing,Jacket,39,503.31,19629.09,Wholesale,11,Low Revenue
ORD01636,2024-03-17,East,Priya,Furniture,Desk,3,242.91,728.73,Retail,3,Low Revenue
ORD01637,2024-05-15,South,Divya,Grocery,Rice,42,1037.13,43559.46,Retail,5,Medium Revenue
ORD01638,2024-05-13,North,Divya,Grocery,Oil,28,1701.65,47646.2,Retail,5,Medium Revenue
ORD01639,2025-01-15,South,Meena,Furniture,Cabinet,17,808.17,13738.89,Wholesale,1,Low Revenue
ORD01640,2024-12-13,South,Arjun,Grocery,Oil,16,1780.08,28481.28,Wholesale,12,Low Revenue
ORD01641,2025-05-17,South,Amit,Clothing,Jeans,18,882.79,15890.22,Wholesale,5,Low Revenue
ORD01642,2024-02-13,South,Sneha,Furniture,Cabinet,24,18.65,447.6,Retail,2,Low Revenue
ORD01643,2024-12-11,East,Karthik,Furniture,Table,50,1745.35,87267.5,Wholesale,12,High Revenue
ORD01644,2024-02-12,North,Karthik,Electronics,Tablet,13,194.99,2534.87,Wholesale,2,Low Revenue
ORD01645,2024-08-13,West,Rahul,Electronics,Laptop,38,390.83,14851.54,Wholesale,8,Low Revenue
ORD01646,2024-03-06,North,Priya,Grocery,Milk,1,695.83,695.83,Wholesale,3,Low Revenue
ORD01647,2025-02-12,South,Amit,Furniture,Desk,20,1410.89,28217.8,Wholesale,2,Low Revenue
ORD01648,2025-01-23,East,Karthik,Grocery,Milk,2,689.18,1378.36,Wholesale,1,Low Revenue
ORD01649,2024-05-08,East,Rahul,Grocery,Milk,31,238.88,7405.28,Wholesale,5,Low Revenue
ORD01650,2024-12-23,West,Meena,Grocery,Rice,37,672.44,24880.28,Wholesale,12,Low Revenue
ORD01651,2025-03-19,South,Priya,Furniture,Desk,1,1385.5,1385.5,Wholesale,3,Low Revenue
ORD01652,2024-11-02,West,Divya,Grocery,Oil,2,1607.52,3215.04,Wholesale,11,Low Revenue
ORD01653,2025-11-07,North,Amit,Grocery,Sugar,48,837.35,40192.8,Wholesale,11,Medium Revenue
ORD01654,2024-12-26,East,Rahul,Clothing,Shirt,27,1674.28,45205.56,Wholesale,12,Medium Revenue
ORD01655,2024-07-07,West,Amit,Electronics,Tablet,33,1925.7,63548.1,Wholesale,7,High Revenue
ORD01656,2025-07-24,West,Rahul,Electronics,Laptop,18,1416.77,25501.86,Wholesale,7,Low Revenue
ORD01657,2025-01-18,South,Rahul,Grocery,Rice,18,520.09,9361.62,Wholesale,1,Low Revenue
ORD01658,2025-09-27,West,Rahul,Electronics,Laptop,39,253.93,9903.27,Retail,9,Low Revenue
ORD01659,2025-03-20,North,Divya,Grocery,Sugar,9,143.28,1289.52,Wholesale,3,Low Revenue
ORD01660,2024-10-08,South,Rahul,Grocery,Rice,23,617.87,14211.01,Wholesale,10,Low Revenue
ORD01661,2024-10-22,West,Priya,Clothing,Jeans,22,1331.68,29296.96,Retail,10,Low Revenue
ORD01662,2025-05-27,North,Amit,Furniture,Table,43,254.45,10941.35,Retail,5,Low Revenue
ORD01663,2024-10-01,South,Rahul,Grocery,Milk,23,603.1,13871.3,Retail,10,Low Revenue
ORD01664,2025-06-30,West,Amit,Electronics,Laptop,38,1272.28,48346.64,Wholesale,6,Medium Revenue
ORD01665,2024-12-29,South,Rahul,Clothing,Jeans,20,1163.46,23269.2,Retail,12,Low Revenue
ORD01666,2025-09-02,West,Rahul,Furniture,Cabinet,29,676.35,19614.15,Retail,9,Low Revenue
ORD01667,2025-04-24,North,Amit,Furniture,Table,46,1168.03,53729.38,Retail,4,High Revenue
ORD01668,2024-02-09,West,Sneha,Clothing,Jacket,50,372.86,18643.0,Retail,2,Low Revenue
ORD01669,2024-03-15,South,Arjun,Clothing,Shoes,16,503.88,8062.08,Retail,3,Low Revenue
ORD01670,2025-10-09,South,Divya,Furniture,Cabinet,23,741.4,17052.2,Wholesale,10,Low Revenue
ORD01671,2025-05-03,East,Arjun,Clothing,Jeans,13,278.44,3619.72,Wholesale,5,Low Revenue
ORD01672,2025-01-22,South,Priya,Grocery,Rice,21,1956.03,41076.63,Retail,1,Medium Revenue
ORD01673,2024-12-26,South,Arjun,Furniture,Cabinet,27,528.0,14256.0,Wholesale,12,Low Revenue
ORD01674,2024-07-15,West,Priya,Furniture,Cabinet,45,1255.75,56508.75,Retail,7,High Revenue
ORD01675,2024-03-24,South,Arjun,Furniture,Chair,46,801.57,36872.22,Retail,3,Medium Revenue
ORD01676,2024-06-27,South,Rahul,Grocery,Oil,22,67.35,1481.7,Wholesale,6,Low Revenue
ORD01677,2024-09-09,East,Meena,Furniture,Chair,40,1838.97,73558.8,Retail,9,High Revenue
ORD01678,2025-08-26,South,Karthik,Clothing,Shoes,17,1522.33,25879.61,Wholesale,8,Low Revenue
ORD01679,2025-09-29,East,Amit,Grocery,Oil,7,1194.48,8361.36,Retail,9,Low Revenue
ORD01680,2024-12-31,East,Rahul,Electronics,Monitor,47,1023.83,48120.01,Retail,12,Medium Revenue
ORD01681,2024-12-28,East,Meena,Electronics,Monitor,24,1911.52,45876.48,Wholesale,12,Medium Revenue
ORD01682,2025-07-20,South,Priya,Clothing,Jacket,46,693.33,31893.18,Retail,7,Medium Revenue
ORD01683,2024-10-03,West,Meena,Electronics,Laptop,30,1169.95,35098.5,Retail,10,Medium Revenue
ORD01684,2025-03-06,East,Amit,Electronics,Tablet,27,167.46,4521.42,Retail,3,Low Revenue
ORD01685,2024-02-09,South,Rahul,Furniture,Cabinet,17,382.74,6506.58,Retail,2,Low Revenue
ORD01686,2025-08-17,West,Karthik,Grocery,Oil,34,913.7,31065.8,Retail,8,Medium Revenue
ORD01687,2025-03-17,South,Divya,Clothing,Shoes,40,836.09,33443.6,Retail,3,Medium Revenue
ORD01688,2024-02-29,North,Sneha,Furniture,Cabinet,3,1046.99,3140.97,Retail,2,Low Revenue
ORD01689,2024-09-22,South,Priya,Furniture,Desk,20,106.42,2128.4,Retail,9,Low Revenue
ORD01690,2025-01-26,South,Meena,Electronics,Laptop,8,1643.59,13148.72,Retail,1,Low Revenue
ORD01691,2024-05-30,East,Arjun,Electronics,Tablet,13,754.81,9812.53,Retail,5,Low Revenue
ORD01692,2024-05-20,East,Priya,Electronics,Laptop,25,801.73,20043.25,Wholesale,5,Low Revenue
ORD01693,2025-07-16,North,Sneha,Furniture,Chair,27,1885.67,50913.09,Wholesale,7,High Revenue
ORD01694,2024-11-12,West,Amit,Clothing,Shoes,26,629.33,16362.58,Retail,11,Low Revenue
ORD01695,2025-10-20,North,Sneha,Grocery,Milk,1,1511.36,1511.36,Wholesale,10,Low Revenue
ORD01696,2025-09-09,East,Meena,Clothing,Jeans,49,1822.25,89290.25,Retail,9,High Revenue
ORD01697,2024-02-03,South,Rahul,Furniture,Desk,3,586.47,1759.41,Retail,2,Low Revenue
ORD01698,2025-02-27,East,Meena,Electronics,Laptop,25,1721.61,43040.25,Retail,2,Medium Revenue
ORD01699,2025-02-09,South,Amit,Electronics,Monitor,19,1216.23,23108.37,Wholesale,2,Low Revenue
ORD01700,2024-02-06,West,Amit,Furniture,Cabinet,6,416.17,2497.02,Wholesale,2,Low Revenue
ORD01701,2024-09-07,East,Priya,Electronics,Laptop,15,408.93,6133.95,Wholesale,9,Low Revenue
ORD01702,2025-05-12,West,Divya,Electronics,Tablet,48,292.09,14020.32,Retail,5,Low Revenue
ORD01703,2025-06-05,East,Rahul,Furniture,Cabinet,25,254.43,6360.75,Wholesale,6,Low Revenue
ORD01704,2025-05-07,North,Rahul,Grocery,Rice,9,339.86,3058.74,Retail,5,Low Revenue
ORD01705,2025-01-12,West,Arjun,Electronics,Laptop,38,857.13,32570.94,Wholesale,1,Medium Revenue
ORD01706,2024-12-05,East,Karthik,Grocery,Milk,44,1848.52,81334.88,Retail,12,High Revenue
ORD01707,2025-09-28,West,Divya,Grocery,Oil,8,296.2,2369.6,Retail,9,Low Revenue
ORD01708,2024-05-10,North,Rahul,Grocery,Sugar,22,1937.38,42622.36,Wholesale,5,Medium Revenue
ORD01709,2025-01-12,East,Priya,Clothing,Shirt,49,1789.43,87682.07,Retail,1,High Revenue
ORD01710,2024-02-29,East,Arjun,Electronics,Phone,22,1680.5,36971.0,Wholesale,2,Medium Revenue
ORD01711,2025-07-08,West,Arjun,Grocery,Oil,16,1400.7,22411.2,Wholesale,7,Low Revenue
ORD01712,2024-05-09,East,Divya,Grocery,Rice,13,1392.21,18098.73,Retail,5,Low Revenue
ORD01713,2024-07-03,East,Karthik,Furniture,Chair,18,1331.65,23969.7,Retail,7,Low Revenue
ORD01714,2024-09-05,South,Divya,Electronics,Tablet,30,1102.63,33078.9,Retail,9,Medium Revenue
ORD01715,2025-02-16,West,Rahul,Grocery,Oil,7,1810.79,12675.53,Wholesale,2,Low Revenue
ORD01716,2024-12-05,North,Meena,Grocery,Rice,6,932.86,5597.16,Retail,12,Low Revenue
ORD01717,2025-07-18,West,Arjun,Electronics,Laptop,39,1371.68,53495.52,Wholesale,7,High Revenue
ORD01718,2025-09-27,West,Arjun,Clothing,Jacket,40,49.71,1988.4,Retail,9,Low Revenue
ORD01719,2025-08-12,South,Priya,Electronics,Phone,48,89.28,4285.44,Wholesale,8,Low Revenue
ORD01720,2025-11-11,North,Amit,Furniture,Chair,38,740.26,28129.88,Wholesale,11,Low Revenue
ORD01721,2024-03-12,East,Priya,Electronics,Monitor,22,227.79,5011.38,Retail,3,Low Revenue
ORD01722,2025-12-17,South,Karthik,Grocery,Rice,32,1665.64,53300.48,Retail,12,High Revenue
ORD01723,2025-10-29,West,Priya,Furniture,Table,43,307.11,13205.73,Retail,10,Low Revenue
ORD01724,2024-01-24,South,Arjun,Grocery,Sugar,25,11.66,291.5,Wholesale,1,Low Revenue
ORD01725,2024-10-10,East,Priya,Grocery,Milk,44,876.43,38562.92,Wholesale,10,Medium Revenue
ORD01726,2025-03-05,East,Karthik,Electronics,Monitor,18,1034.71,18624.78,Wholesale,3,Low Revenue
ORD01727,2024-02-11,West,Meena,Clothing,Jeans,12,1104.63,13255.56,Wholesale,2,Low Revenue
ORD01728,2024-04-24,East,Divya,Clothing,Jeans,26,75.76,1969.76,Wholesale,4,Low Revenue
ORD01729,2024-05-14,East,Meena,Electronics,Laptop,50,538.26,26913.0,Wholesale,5,Low Revenue
ORD01730,2025-07-28,North,Divya,Furniture,Chair,38,592.71,22522.98,Retail,7,Low Revenue
ORD01731,2025-08-31,North,Divya,Furniture,Chair,44,1884.6,82922.4,Retail,8,High Revenue
ORD01732,2024-09-12,East,Arjun,Furniture,Table,31,1990.75,61713.25,Wholesale,9,High Revenue
ORD01733,2025-09-18,West,Amit,Grocery,Rice,29,1150.14,33354.06,Wholesale,9,Medium Revenue
ORD01734,2024-08-11,North,Sneha,Grocery,Rice,10,1528.27,15282.7,Wholesale,8,Low Revenue
ORD01735,2024-07-08,East,Divya,Electronics,Laptop,2,223.51,447.02,Retail,7,Low Revenue
ORD01736,2024-04-25,South,Divya,Electronics,Laptop,9,628.32,5654.88,Wholesale,4,Low Revenue
ORD01737,2024-04-17,West,Karthik,Furniture,Table,3,39.36,118.08,Retail,4,Low Revenue
ORD01738,2025-01-20,East,Rahul,Grocery,Milk,14,288.02,4032.28,Retail,1,Low Revenue
ORD01739,2025-07-17,West,Priya,Clothing,Jacket,26,350.11,9102.86,Wholesale,7,Low Revenue
ORD01740,2025-06-07,South,Amit,Grocery,Oil,15,594.49,8917.35,Retail,6,Low Revenue
ORD01741,2025-07-16,West,Meena,Furniture,Desk,33,1722.49,56842.17,Wholesale,7,High Revenue
ORD01742,2024-05-29,North,Sneha,Electronics,Laptop,26,956.19,24860.94,Retail,5,Low Revenue
ORD01743,2025-08-13,West,Priya,Grocery,Rice,41,1157.51,47457.91,Retail,8,Medium Revenue
ORD01744,2025-09-11,South,Arjun,Grocery,Oil,38,1989.54,75602.52,Wholesale,9,High Revenue
ORD01745,2025-01-01,West,Sneha,Clothing,Shirt,27,57.17,1543.59,Retail,1,Low Revenue
ORD01746,2025-05-10,South,Sneha,Furniture,Table,19,1701.09,32320.71,Retail,5,Medium Revenue
ORD01747,2025-02-09,West,Divya,Furniture,Table,34,71.24,2422.16,Retail,2,Low Revenue
ORD01748,2025-04-01,West,Rahul,Furniture,Desk,19,1302.62,24749.78,Retail,4,Low Revenue
ORD01749,2025-11-08,North,Meena,Grocery,Oil,15,1218.43,18276.45,Wholesale,11,Low Revenue
ORD01750,2025-05-26,South,Meena,Furniture,Table,42,1027.1,43138.2,Retail,5,Medium Revenue
ORD01751,2025-09-26,East,Rahul,Clothing,Jacket,1,763.22,763.22,Wholesale,9,Low Revenue
ORD01752,2025-07-02,South,Sneha,Furniture,Chair,16,1806.64,28906.24,Retail,7,Low Revenue
ORD01753,2025-09-05,West,Meena,Electronics,Phone,33,1891.85,62431.05,Retail,9,High Revenue
ORD01754,2025-06-21,West,Divya,Furniture,Cabinet,26,954.83,24825.58,Wholesale,6,Low Revenue
ORD01755,2025-01-16,West,Arjun,Electronics,Monitor,1,1354.64,1354.64,Retail,1,Low Revenue
ORD01756,2025-02-26,North,Arjun,Clothing,Jacket,14,926.08,12965.12,Retail,2,Low Revenue
ORD01757,2024-12-03,East,Rahul,Grocery,Rice,12,1093.92,13127.04,Retail,12,Low Revenue
ORD01758,2024-03-03,North,Divya,Electronics,Phone,26,548.19,14252.94,Wholesale,3,Low Revenue
ORD01759,2025-08-15,West,Meena,Electronics,Phone,45,1400.12,63005.4,Retail,8,High Revenue
